Acronym	Official Name	Start Date	End Date	Talk Deadline	Registration Deadline	Abstract Deadline	Poster Deadline	Location	URL	Source
Benasque Quantum Nanophotonics	Quantum Nanophotonics 2025	2025-03-16	2025-03-22	2025-01-17	TBC			Benasque, Spain	benasque.org/2025quantumnanophotonics/	original list
Photonics North 2025	Photonics North 2025	2025-05-20	2025-05-23	TBC	TBC			Ottawa, Canada	TBC	original list
Benasque SQT	Spring School on Superconducting Qubit Technology 2025	2025-05-21	2025-05-30	TBC	TBC			Benasque, Spain	benasque.org/2025sqt/	original list
Optica Quantum 2.0 2025	Optica Quantum 2.0 Conference 2025	2025-06-01	2025-06-05	TBC	TBC			San Francisco, CA, USA	optica.org/events/topical_meetings/quantum/	original list
ICOLS 2025	26th International Conference on Laser Spectroscopy	2025-06-02	2025-06-07	2025-01-17	TBC			Elba Island, Tuscany, Italy	icols2025.it/	original list
ECIO 2025	European Conference on Integrated Optics 2025	2025-06-10	2025-06-12	TBC	TBC			Cardiff, Wales, UK	ecio-conference.org/	original list
Benasque QI	Quantum Information 2025	2025-06-15	2025-07-04	TBC	TBC			Benasque, Spain	benasque.org/	original list
DAMOP 2025	56th APS Division AMO Physics Meeting	2025-06-16	2025-06-20	2025-01-31	2025-01-31			Portland, OR, USA	aps.org/events/2025/atomic-molecular-optical-physics	original list
CLEO-Europe/EQEC 2025	CLEO/Europe-EQEC 2025	2025-06-23	2025-06-27	2025-01-27	2025-01-27			Munich, Germany	cleoeurope.org/	original list
CEWQO 2025	29th Central European Workshop Quantum Optics	2025-06-23	2025-06-27	TBC	TBC			Vilnius, Lithuania	ucan.physics.utoronto.ca/conferences/cewqo29/	original list
ICTON 2025	25th Intl Conf Transparent Optical Networks	2025-07-06	2025-07-10	TBC	TBC			Barcelona, Spain	icton2025.upc.edu/	original list
IEEE SUM 2025	IEEE Summer Topicals Meeting Series 2025	2025-07-21	2025-07-23	TBC	TBC			Berlin, Germany	ieee-sum.org/	original list
QCrypt 2025	QCrypt 2025	2025-08-25	2025-08-29	TBC	TBC			Sanya, China	qcrypt.net/	original list
ECOC 2025	51st European Conf Optical Communication	2025-09-28	2025-10-02	TBC	TBC			Copenhagen, Denmark	ecoc2025.org/	original list
MOC 2025	30th Microoptics Conference	2025-10-12	2025-10-15	2025-05-16	TBC			Tochigi, Japan	TBC	original list
